SampleID	Group
Ap_3	Ap
Ap_4	Ap
Ap_6	Ap
Ap_7	Ap
Ap_8	Ap
Bb_3	Bb
Bb_4	Bb
Bb_5	Bb
Bb_6	Bb
Bb_8	Bb
KIRA6_Ap_1	KIRA6_Ap
KIRA6_Ap_2	KIRA6_Ap
KIRA6_Ap_4	KIRA6_Ap
KIRA6_Ap_7	KIRA6_Ap
KIRA6_Ap_8	KIRA6_Ap
KIRA6_Bb_1	KIRA6_Bb
KIRA6_Bb_2	KIRA6_Bb
KIRA6_Bb_3	KIRA6_Bb
KIRA6_Bb_6	KIRA6_Bb
KIRA6_Bb_8	KIRA6_Bb
KIRA6_Uninfected_1	KIRA6_Uninfected
KIRA6_Uninfected_3	KIRA6_Uninfected
KIRA6_Uninfected_5	KIRA6_Uninfected
KIRA6_Uninfected_7	KIRA6_Uninfected
KIRA6_Uninfected_8	KIRA6_Uninfected
Uninfected_1	Uninfected
Uninfected_4	Uninfected
Uninfected_5	Uninfected
Uninfected_7	Uninfected
Uninfected_8	Uninfected
